survida,survidn,survproglab,survprogname,sampframe,wbid,unid,unidyear,wbidyear,year,wave,survversion,RegionUN,sampsize,Region5,Region6,Region7,Region10,continent,module,collectmode,collectlanguage,collectdates,weight,public,longitudinal,oldsurvid,popage,designeffect,marginerror,exclusion,nationalsurvey,resprate,founder,survecat,status,type,globbaro,active,progparent,oversampl,proglab,startyear,founder2,country
BRA201431,76201431,WVS,World Values Survey,Brazil,BRA,Brazil,762014,BRA2014,2014,6,1,South America,1486,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,,WVS,1981,Member country after program founding,Brazil
BRA201371,76201371,VOTP,Voice of the People,Brazil,BRA,Brazil,762013,BRA2013,2013,10,1,South America,2002,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,Face To Face,,,,public,1,11,16+,,,,,,Member country at program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Brazil
BRA2012111,762012111,GWP,Gallup World Poll,Brazil,BRA,Brazil,762012,BRA2012,2012,7,1,South America,1002,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,Landline And Cellular Telephone,Portuguese,,,private,1,,,1.43,3.7,The current wave was conducted using landline and cellular phones and the resulting sample was younger and more educated that previous waves.,,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Brazil
BRA200441,76200441,ISSP,International Social Survey,Brazil,BRA,Brazil,762004,BRA2004,2004,20,1,South America,2000,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,Citizenship I,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,International Social Survey,,ISSP,1985,Member country after program founding,Brazil
BRA2006131,762006131,AMERAB,Americasbarometer,Brazil,BRA,Brazil,762006,BRA2006,2006,2,1,South America,1214,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,Americasbarometer,,AMERAB,2004,Member country after program founding,Brazil
BRA201351,76201351,LATINB,Latinobarometer,Brazil,BRA,Brazil,762013,BRA2013,2013,17,1,South America,1204,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,1,1,Global Barometer,,LATINB,1995,Member country after program founding,Brazil
BRA2014131,762014131,AMERAB,Americasbarometer,Brazil,BRA,Brazil,762014,BRA2014,2014,6,1,South America,1500,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,Americasbarometer,,AMERAB,2004,Member country after program founding,Brazil
BRA200751,76200751,LATINB,Latinobarometer,Brazil,BRA,Brazil,762007,BRA2007,2007,12,1,South America,1204,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,1,1,Global Barometer,,LATINB,1995,Member country after program founding,Brazil
BRA200971,76200971,VOTP,Voice of the People,Brazil,BRA,Brazil,762009,BRA2009,2009,7,1,South America,2002,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,Face To Face,,,,public,1,8,.,,,,,,Member country at program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Brazil
BRA200791,76200791,PGA,Pew Global Attitudes Survey,Brazil,BRA,Brazil,762007,BRA2007,2007,8,1,South America,1000,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,Pew Global Attitudes Survey,,PGA,2002,Member country after program founding,Brazil
BRA2009111,762009111,GWP,Gallup World Poll,Brazil,BRA,Brazil,762009,BRA2009,2009,4,1,South America,1031,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,Face To Face,Portuguese,,,private,1,,,1.19,3.3,,,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Brazil
BRA2010131,762010131,AMERAB,Americasbarometer,Brazil,BRA,Brazil,762010,BRA2010,2010,4,1,South America,2482,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,Americasbarometer,,AMERAB,2004,Member country after program founding,Brazil
BRA200891,76200891,PGA,Pew Global Attitudes Survey,Brazil,BRA,Brazil,762008,BRA2008,2008,9,1,South America,1000,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,Pew Global Attitudes Survey,,PGA,2002,Member country after program founding,Brazil
BRA200351,76200351,LATINB,Latinobarometer,Brazil,BRA,Brazil,762003,BRA2003,2003,8,1,South America,1200,L American Ancestry,L American Ancestry,L American Ancestry,S American Ancestry,Americas,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,1,1,Global Barometer,,LATINB,1995,Member country after program founding,Brazil
BLZ2014131,842014131,AMERAB,Americasbarometer,Belize,BLZ,Belize,842014,BLZ2014,2014,6,1,Central America,1534,L American Ancestry,L American Ancestry,L American Ancestry,C American-Caribean Ancestry,Americas,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Americasbarometer,,AMERAB,2004,Member country after program founding,Belize
BLZ2008131,842008131,AMERAB,Americasbarometer,Belize,BLZ,Belize,842008,BLZ2008,2008,3,1,Central America,1552,L American Ancestry,L American Ancestry,L American Ancestry,C American-Caribean Ancestry,Americas,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Americasbarometer,,AMERAB,2004,Member country after program founding,Belize
BLZ2012131,842012131,AMERAB,Americasbarometer,Belize,BLZ,Belize,842012,BLZ2012,2012,5,1,Central America,1512,L American Ancestry,L American Ancestry,L American Ancestry,C American-Caribean Ancestry,Americas,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Americasbarometer,,AMERAB,2004,Member country after program founding,Belize
BLZ2010131,842010131,AMERAB,Americasbarometer,Belize,BLZ,Belize,842010,BLZ2010,2010,4,1,Central America,1504,L American Ancestry,L American Ancestry,L American Ancestry,C American-Caribean Ancestry,Americas,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Americasbarometer,,AMERAB,2004,Member country after program founding,Belize
BLZ2007111,842007111,GWP,Gallup World Poll,Belize,BLZ,Belize,842007,BLZ2007,2007,2,1,Central America,502,L American Ancestry,L American Ancestry,L American Ancestry,C American-Caribean Ancestry,Americas,,Face To Face,English,,,private,1,,,1.05,4.5,,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Belize
BRN2004171,962004171,ASIAB,AsiaBarometer,Brunei Darussalam,BRN,Brunei Darussalam,962004,BRN2004,2004,2,1,South-Eastern Asia,804,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,E Asian Ancestry,Asia,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,1,1,AsiaBarometer,,ASIAB,2003,Member country after program founding,Brunei Darussalam
BGR200917,100200917,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002009,BGR2009,2009,72,7,Eastern Europe,1008,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR201216,100201216,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002012,BGR2012,2012,77,6,Eastern Europe,1016,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200613,100200613,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002006,BGR2006,2006,66,3,Eastern Europe,1035,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200611,100200611,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002006,BGR2006,2006,64,1,Eastern Europe,1002,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR2013111,1002013111,GWP,Gallup World Poll,Bulgaria,BGR,Bulgaria,1002013,BGR2013,2013,8,1,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,Face To Face,Bulgarian,,,private,1,,,1.41,3.7,,,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Bulgaria
BGR1992141,1001992141,CEEB,Central & Eastern Eurobarometer,Bulgaria,BGR,Bulgaria,1001992,BGR1992,1992,3,1,Eastern Europe,1312,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,0,Global Barometer,,CEEB,1990,Member country after program founding,Bulgaria
BGR200411,100200411,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002004,BGR2004,2004,62,1,Eastern Europe,1004,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR201118,100201118,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002011,BGR2011,2011,75,8,Eastern Europe,1002,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200291,100200291,PGA,Pew Global Attitudes Survey,Bulgaria,BGR,Bulgaria,1002002,BGR2002,2002,1,1,Eastern Europe,514,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,Pew Global Attitudes Survey,,PGA,2002,Member country after program founding,Bulgaria
BGR200812,100200812,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002008,BGR2008,2008,69,2,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR201414,100201414,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002014,BGR2014,2014,81,4,Eastern Europe,1033,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200916,100200916,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002009,BGR2009,2009,72,6,Eastern Europe,1015,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR2009111,1002009111,GWP,Gallup World Poll,Bulgaria,BGR,Bulgaria,1002009,BGR2009,2009,4,1,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,Face To Face,Bulgarian,,,private,1,,,1.24,3.4,,,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Bulgaria
BGR201018,100201018,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002010,BGR2010,2010,74,8,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200211,100200211,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002002,BGR2002,2002,81,1,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR1994141,1001994141,CEEB,Central & Eastern Eurobarometer,Bulgaria,BGR,Bulgaria,1001994,BGR1994,1994,5,1,Eastern Europe,1045,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,0,Global Barometer,,CEEB,1990,Member country after program founding,Bulgaria
BGR1991141,1001991141,CEEB,Central & Eastern Eurobarometer,Bulgaria,BGR,Bulgaria,1001991,BGR1991,1991,2,1,Eastern Europe,989,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,0,Global Barometer,,CEEB,1990,Member country after program founding,Bulgaria
BGR200512,100200512,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002005,BGR2005,2005,63,2,Eastern Europe,1008,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR2001181,1002001181,NEB,New Europe Barometer,Bulgaria,BGR,Bulgaria,1002001,BGR2001,2001,11,1,Eastern Europe,1163,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,0,New Europe Barometer,,NEB,1991,Member country after program founding,Bulgaria
BGR201371,100201371,VOTP,Voice of the People,Bulgaria,BGR,Bulgaria,1002013,BGR2013,2013,10,1,Eastern Europe,1013,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,Face To Face,,,,public,1,12,18+,,,,,,Member country at program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Bulgaria
BGR201016,100201016,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002010,BGR2010,2010,73,6,Eastern Europe,1009,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200320055,100200320055,CCEB,Candidate Countries Eurobarometer,Bulgaria,BGR,Bulgaria,1002003,BGR2003,2003,1,5,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,0,Candidate Countries Eurobarometer,,CCEB,2001,Member country after program founding,Bulgaria
BGR201214,100201214,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002012,BGR2012,2012,78,4,Eastern Europe,1008,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200612,100200612,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002006,BGR2006,2006,65,2,Eastern Europe,1025,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR201212,100201212,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002012,BGR2012,2012,78,2,Eastern Europe,1020,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200771,100200771,VOTP,Voice of the People,Bulgaria,BGR,Bulgaria,1002007,BGR2007,2007,6,1,Eastern Europe,1016,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,Face To Face,,,,public,1,6,.,,,,,,Member country at program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Bulgaria
BGR201141,100201141,ISSP,International Social Survey,Bulgaria,BGR,Bulgaria,1002011,BGR2011,2011,27,1,Eastern Europe,1003,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,Health and Health Care I,,,,,public,1,,,,,,Bulgarian General Social Survey (BGSS) 2011,,Member country after program founding,Social survey,,,0,1,International Social Survey,,ISSP,1985,Member country after program founding,Bulgaria
BGR201112,100201112,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002011,BGR2011,2011,76,2,Eastern Europe,1006,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR2012111,1002012111,GWP,Gallup World Poll,Bulgaria,BGR,Bulgaria,1002012,BGR2012,2012,7,1,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,Face To Face,Bulgarian,,,private,1,,,1.52,3.8,,,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Bulgaria
BGR201117,100201117,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002011,BGR2011,2011,76,7,Eastern Europe,1021,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200071,100200071,VOTP,Voice of the People,Bulgaria,BGR,Bulgaria,1002000,BGR2000,2000,1,1,Eastern Europe,1104,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,.,,,,public,1,8,.,,,,,,Member country at program founding,Social survey,,,0,1,Voice of the People,.,VOTP,2000,Member country after program founding,Bulgaria
BGR200513,100200513,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002005,BGR2005,2005,64,3,Eastern Europe,1001,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR1998181,1001998181,NEB,New Europe Barometer,Bulgaria,BGR,Bulgaria,1001998,BGR1998,1998,8,1,Eastern Europe,971,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,0,New Europe Barometer,,NEB,1991,Member country after program founding,Bulgaria
BGR200420051,100200420051,CCEB,Candidate Countries Eurobarometer,Bulgaria,BGR,Bulgaria,1002004,BGR2004,2004,1,1,Eastern Europe,100,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,0,Candidate Countries Eurobarometer,,CCEB,2001,Member country after program founding,Bulgaria
BGR200614,100200614,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002006,BGR2006,2006,66,4,Eastern Europe,1023,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR201012,100201012,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002010,BGR2010,2010,74,2,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR199620031,100199620031,CNEP,Comparative National Elections Project,Bulgaria,BGR,Bulgaria,1001996,BGR1996,1996,2,1,Eastern Europe,1216,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Political survey,,,0,1,Comparative National Elections Project,,CNEP,1992,Member country after program founding,Bulgaria
BGR201211,100201211,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002012,BGR2012,2012,77,1,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR201114,100201114,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002011,BGR2011,2011,76,4,Eastern Europe,1003,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR201418,100201418,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002014,BGR2014,2014,82,8,Eastern Europe,1006,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200913,100200913,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002009,BGR2009,2009,72,3,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200912,100200912,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002009,BGR2009,2009,72,2,Eastern Europe,1007,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR201317,100201317,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002013,BGR2013,2013,79,7,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR199641,100199641,ISSP,International Social Survey,Bulgaria,BGR,Bulgaria,1001996,BGR1996,1996,12,1,Eastern Europe,1012,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,Role of Government III,,,,,public,1,,,,,,Bulgarian General Social Survey (BGSS) 1997,,Member country after program founding,Social survey,,,0,1,International Social Survey,,ISSP,1985,Member country after program founding,Bulgaria
BGR200920071,100200920071,TT,Transatlantic Trends Survey,Bulgaria,BGR,Bulgaria,1002009,BGR2009,2009,7,1,Eastern Europe,1030,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,Transatlantic Trends Survey,,TT,2003,Member country after program founding,Bulgaria
BGR200341,100200341,ISSP,International Social Survey,Bulgaria,BGR,Bulgaria,1002003,BGR2003,2003,19,1,Eastern Europe,1069,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,National Identity II,,,,,public,1,,,,,,Bulgarian General Social Survey (BGSS) 2003,,Member country after program founding,Social survey,,,0,1,International Social Survey,,ISSP,1985,Member country after program founding,Bulgaria
BGR200711,100200711,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002007,BGR2007,2007,67,1,Eastern Europe,1009,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR200941,100200941,ISSP,International Social Survey,Bulgaria,BGR,Bulgaria,1002009,BGR2009,2009,25,1,Eastern Europe,1000,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,Social Inequality IV,,,,,public,1,,,,,,Bulgarian General Social Survey (BGSS) 2008/2009,,Member country after program founding,Social survey,,,0,1,International Social Survey,,ISSP,1985,Member country after program founding,Bulgaria
BGR1993181,1001993181,NEB,New Europe Barometer,Bulgaria,BGR,Bulgaria,1001993,BGR1993,1993,3,1,Eastern Europe,1139,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,0,New Europe Barometer,,NEB,1991,Member country after program founding,Bulgaria
BGR200821,100200821,EVS,European Values Study,Bulgaria,BGR,Bulgaria,1002008,BGR2008,2008,4,1,Eastern Europe,1500,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,yes,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,National / Integration / Cumulation,EVS,1981,Member country after program founding,Bulgaria
BGR201041,100201041,ISSP,International Social Survey,Bulgaria,BGR,Bulgaria,1002010,BGR2010,2010,26,1,Eastern Europe,1003,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,Environment III,,,,,public,1,,,,,,Bulgarian General Social Survey (BGSS) 2011,,Member country after program founding,Social survey,,,0,1,International Social Survey,,ISSP,1985,Member country after program founding,Bulgaria
BGR201111,100201111,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002011,BGR2011,2011,76,1,Eastern Europe,1001,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR199731,100199731,WVS,World Values Survey,Bulgaria,BGR,Bulgaria,1001997,BGR1997,1997,3,1,Eastern Europe,1072,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,,WVS,1981,Member country after program founding,Bulgaria
BGR200241,100200241,ISSP,International Social Survey,Bulgaria,BGR,Bulgaria,1002002,BGR2002,2002,18,1,Eastern Europe,1003,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,Family and Changing Gender Roles III,,,,,public,1,,,,,,Bulgarian General Social Survey (BGSS) 2001,,Member country after program founding,Social survey,,,0,1,International Social Survey,,ISSP,1985,Member country after program founding,Bulgaria
BGR201312,100201312,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002013,BGR2013,2013,79,2,Eastern Europe,1029,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
BGR1991181,1001991181,NEB,New Europe Barometer,Bulgaria,BGR,Bulgaria,1001991,BGR1991,1991,1,1,Eastern Europe,1002,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,0,New Europe Barometer,,NEB,1991,Member country after program founding,Bulgaria
BGR200712,100200712,EUROB,Eurobarometer,Bulgaria,BGR,Bulgaria,1002007,BGR2007,2007,68,2,Eastern Europe,977,SE European Ancestry,SE European Ancestry,E European Ancestry,E European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Bulgaria
